ID,Назва,Рейтинг,Тип,Епізоди
52991,"Sousou no Frieren",9.29,TV,28
57555,"Chainsaw Man Movie: Reze-hen",9.15,Movie,1
5114,"Fullmetal Alchemist: Brotherhood",9.1,TV,64
9253,"Steins;Gate",9.07,TV,24
61517,"Kingdom 6th Season",9.05,TV,null
38524,"Shingeki no Kyojin Season 3 Part 2",9.05,TV,10
28977,"Gintama°",9.05,TV,51
39486,"Gintama: The Final",9.05,Movie,1
11061,"Hunter x Hunter (2011)",9.03,TV,148
60022,"One Piece Fan Letter",9.02,TV Special,1
9969,"Gintama'",9.02,TV,51
15417,"Gintama': Enchousen",9.02,TV,13
820,"Ginga Eiyuu Densetsu",9.02,OVA,110
41467,"Bleach: Sennen Kessen-hen",8.99,TV,13
34096,"Gintama.",8.98,TV,12
43608,"Kaguya-sama wa Kokurasetai: Ultra Romantic",8.96,TV,13
42938,"Fruits Basket: The Final",8.94,TV,13
4181,"Clannad: After Story",8.93,TV,24
918,"Gintama",8.93,TV,201
28851,"Koe no Katachi",8.93,Movie,1
58514,"Kusuriya no Hitorigoto 2nd Season",8.91,TV,24
2904,"Code Geass: Hangyaku no Lelouch R2",8.91,TV,25
35180,"3-gatsu no Lion 2nd Season",8.9,TV,22
15335,"Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare",8.89,Movie,1
19,"Monster",8.89,TV,74
